date,n
2019-03-01T00:00:00+00:00,59254
2019-03-08T00:00:00+00:00,59412
2019-03-15T00:00:00+00:00,59568
2019-03-22T00:00:00+00:00,59731
2019-03-29T00:00:00+00:00,59983
2019-04-05T00:00:00+00:00,60164
2019-04-12T00:00:00+00:00,60445
2019-04-19T00:00:00+00:00,60651
2019-04-26T00:00:00+00:00,60950
2019-05-03T00:00:00+00:00,61212
2019-05-10T00:00:00+00:00,61494
2019-05-17T00:00:00+00:00,61783
2019-05-24T00:00:00+00:00,62030
2019-05-31T00:00:00+00:00,62684
2019-06-07T00:00:00+00:00,63037
2019-06-14T00:00:00+00:00,63391
2019-06-21T00:00:00+00:00,63849
2019-06-28T00:00:00+00:00,64344
2019-07-05T00:00:00+00:00,64777
2019-07-12T00:00:00+00:00,65427
2019-07-19T00:00:00+00:00,65774
2019-07-26T00:00:00+00:00,66187
2019-08-02T00:00:00+00:00,66574
2019-08-09T00:00:00+00:00,66889
2019-08-16T00:00:00+00:00,67248
2019-08-23T00:00:00+00:00,67911
2019-08-30T00:00:00+00:00,68234
2019-09-06T00:00:00+00:00,68477
2019-09-13T00:00:00+00:00,68656
2019-09-20T00:00:00+00:00,68838
2019-09-27T00:00:00+00:00,69056
2019-10-04T00:00:00+00:00,69312
2019-10-11T00:00:00+00:00,69515
2019-10-18T00:00:00+00:00,69695
2019-10-25T00:00:00+00:00,69845
2019-11-01T00:00:00+00:00,69950
2019-11-08T00:00:00+00:00,70068
2019-11-15T00:00:00+00:00,70135
2019-11-22T00:00:00+00:00,70201
2019-11-29T00:00:00+00:00,70265
2019-12-06T00:00:00+00:00,70304
2019-12-13T00:00:00+00:00,70358
2019-12-20T00:00:00+00:00,70425
2019-12-27T00:00:00+00:00,70477
2020-01-03T00:00:00+00:00,70545
2020-01-10T00:00:00+00:00,70607
2020-01-17T00:00:00+00:00,70710
2020-01-24T00:00:00+00:00,70785
2020-01-31T00:00:00+00:00,70865
2020-02-07T00:00:00+00:00,70921
2020-02-14T00:00:00+00:00,70987
2020-02-21T00:00:00+00:00,71050
2020-02-28T00:00:00+00:00,71144
2020-03-06T00:00:00+00:00,71214
2020-03-13T00:00:00+00:00,71314
2020-03-20T00:00:00+00:00,71373
2020-03-27T00:00:00+00:00,71499
2020-04-03T00:00:00+00:00,71608
2020-04-10T00:00:00+00:00,71757
2020-04-17T00:00:00+00:00,71937
2020-04-24T00:00:00+00:00,72082
2020-05-01T00:00:00+00:00,72241
2020-05-08T00:00:00+00:00,72459
2020-05-15T00:00:00+00:00,73343
2020-05-22T00:00:00+00:00,73596
2020-05-29T00:00:00+00:00,73841
2020-06-05T00:00:00+00:00,74123
2020-06-12T00:00:00+00:00,75825
2020-06-19T00:00:00+00:00,76519
2020-06-26T00:00:00+00:00,76919
2020-07-03T00:00:00+00:00,77435
2020-07-10T00:00:00+00:00,77901
2020-07-17T00:00:00+00:00,78659
2020-07-24T00:00:00+00:00,79005
2020-07-31T00:00:00+00:00,79375
2020-08-07T00:00:00+00:00,79685
2020-08-14T00:00:00+00:00,80984
2020-08-21T00:00:00+00:00,81660
2020-08-28T00:00:00+00:00,82166
2020-09-04T00:00:00+00:00,82515
2020-09-11T00:00:00+00:00,82768
2020-09-18T00:00:00+00:00,83120
2020-09-25T00:00:00+00:00,83454
2020-10-02T00:00:00+00:00,83835
2020-10-09T00:00:00+00:00,84901
2020-10-16T00:00:00+00:00,86250
2020-10-23T00:00:00+00:00,86794
2020-10-30T00:00:00+00:00,87952
2020-11-06T00:00:00+00:00,89281
2020-11-13T00:00:00+00:00,90069
2020-11-20T00:00:00+00:00,90914
2020-11-27T00:00:00+00:00,92728
2020-12-04T00:00:00+00:00,94557
2020-12-11T00:00:00+00:00,95744
2020-12-17T08:21:03.604246+00:00,96451
