"","days","number_down"
"230",230,0.714285714285714
"231",231,1.57142857142857
"232",232,1.57142857142857
"233",233,1.57142857142857
"234",234,1.57142857142857
"235",235,1.57142857142857
"236",236,1.57142857142857
"237",237,1.57142857142857
"238",238,1.14285714285714
"239",239,1.14285714285714
"240",240,1.14285714285714
"241",241,1.14285714285714
"242",242,1.14285714285714
"243",243,1.14285714285714
"244",244,1.14285714285714
"245",245,4.42857142857143
"246",246,4.42857142857143
"247",247,4.42857142857143
"248",248,4.42857142857143
"249",249,4.42857142857143
"250",250,4.42857142857143
"251",251,4.42857142857143
"252",252,2.71428571428571
"253",253,2.71428571428571
"254",254,2.71428571428571
"255",255,2.71428571428571
"256",256,2.71428571428571
"257",257,2.71428571428571
"258",258,2.71428571428571
"259",259,2.71428571428571
"260",260,2.71428571428571
