x,n,lx,lxn,nqx,ndx,nax,nLx,nmx
490,7,707,687,0.028288543140028266,20,2.6820846128474756,4862.64169225695,0.004112990688137087
497,7,687,666,0.03056768558951961,21,3.9061044042106854,4744.028192488425,0.004426617875764497
504,7,666,647,0.028528528528528496,19,3.0949539266567405,4587.804124606478,0.00414141482154706
511,7,647,629,0.02782071097372485,18,2.8764134670780126,4454.775442407405,0.004040607710244676
518,7,629,608,0.03338632750397452,21,4.511545459105124,4350.742454641208,0.004826762378820653
525,7,608,599,0.014802631578947345,9,2.7374800128600203,4217.63732011574,0.0021338961406366305
532,7,599,588,0.018363939899833093,11,2.876057110690216,4147.636628217592,0.0026521127538424566
539,7,588,577,0.018707482993197244,11,3.949514742213668,4082.44466216435,0.002694463957330958
546,7,577,567,0.017331022530329254,10,3.6928153564814012,4005.9281535648142,0.002496300386990504
553,7,567,549,0.031746031746031744,18,3.912094378858159,3913.4176988194467,0.004599560125010429
560,7,549,537,0.021857923497267784,12,2.633638718171426,3790.6036646180573,0.003165722682117737
567,7,537,525,0.022346368715083775,12,3.0522944020066043,3711.627532824079,0.0032330830326796067
574,7,525,512,0.024761904761904763,13,3.657408924501414,3631.546316018518,0.0035797423105022323
581,7,512,504,0.015625,8,3.409842173032885,3555.278737384263,0.002250175187638274
588,7,504,489,0.029761904761904767,15,3.3056503788578615,3472.584755682868,0.004319548997458614
595,7,489,476,0.026584867075664653,13,4.02038484063371,3384.265002928238,0.0038413067501368065
602,7,476,468,0.01680672268907568,8,2.9860170746525654,3299.8881365972206,0.0024243246039998925
609,7,468,456,0.02564102564102566,12,4.091793404706294,3241.1015208564754,0.0037024449628560068
616,7,456,445,0.02412280701754388,11,4.528078787878692,3164.8088666666654,0.00347572332593524
623,7,445,436,0.020224719101123556,9,3.505200016717797,3083.54680015046,0.00291871684890946
630,7,436,427,0.020642201834862428,9,3.6653036805555153,3021.9877331249995,0.0029781722478049947
637,7,427,413,0.032786885245901676,14,3.4526704389881826,2939.3373861458344,0.004762978236519254
644,7,413,402,0.0266343825665859,11,2.976742169612676,2846.744163865739,0.0038640634236209474
651,7,402,392,0.02487562189054726,10,3.4966647430553506,2778.9666474305536,0.003598459884088947
658,7,392,386,0.015306122448979553,6,3.118101170911094,2720.7086070254663,0.0022053078321238387
665,7,386,373,0.033678756476683946,13,3.2780487455485,2653.6146336921306,0.004898978108932243
672,7,373,369,0.01072386058981234,4,4.2100885416664084,2599.8403541666657,0.0015385560092523957
679,7,369,353,0.04336043360433606,16,3.931765717592235,2533.908251481476,0.0063143564849459065
686,7,353,342,0.031161473087818692,11,4.0233335385095295,2438.2566689236046,0.004511420040473455
693,7,342,329,0.03801169590643272,13,3.7360204282407143,2351.5682655671294,0.005528225648539606
700,7,329,321,0.024316109422492405,8,2.265093492476481,2265.1207479398117,0.0035318205474371357
707,7,321,313,0.024922118380062308,8,2.4984090060758035,2210.9872720486064,0.003618293104232817
714,7,313,303,0.03194888178913735,10,4.611050375000218,2167.110503750002,0.004614439357243594
721,7,303,297,0.01980198019801982,6,4.03898405478418,2103.233904328705,0.0028527497524889114
728,7,297,292,0.01683501683501687,5,1.0149842523154349,2049.0749212615774,0.002440125516211771
735,7,292,282,0.03424657534246578,10,4.366011120370706,2017.660111203707,0.004956236159138887
742,7,282,273,0.03191489361702127,9,2.8003930915637687,1936.203537824074,0.004648271643028963
749,7,273,266,0.02564102564102566,7,3.8602722552907545,1889.0219057870354,0.0037056214004482627
756,7,266,258,0.03007518796992481,8,3.561281888020659,1834.4902551041653,0.0043608844351946405
763,7,258,249,0.03488372093023251,9,2.6362068659974764,1766.7258617939774,0.0050941689339743836
770,7,249,245,0.016064257028112428,4,1.4331968634251098,1720.7327874537004,0.0023245910284066273
777,7,245,242,0.01224489795918371,3,4.0536810185189625,1706.161043055557,0.0017583334306047172
784,7,242,239,0.012396694214875992,3,1.2204675154323468,1676.661402546297,0.0017892700311726549
791,7,239,230,0.03765690376569042,9,4.468073701131554,1650.2126633101839,0.005453842525936493
798,7,230,226,0.017391304347826098,4,3.9672912037034678,1597.8691648148138,0.002503333869931449
805,7,226,218,0.03539823008849563,8,3.59668663194401,1554.773493055552,0.0051454440378179
812,7,218,214,0.01834862385321101,4,3.8452243460646116,1513.3808973842583,0.0026430887339159875
